DEPTH,RHOB,GR,VP,Vs,NPHI
2715.8164,2.0748,76.4732,3.351574704,5.536131168,20.419999999999998
2715.9414,2.0693,75.8602,3.343384728,5.534701656,21.23
2716.0664,2.0652,75.4746,3.337230816,5.5411786560000005,21.52
2716.1914,2.0642,75.5539,3.333524448,5.554803216,21.01
2718.1914,2.1199,79.7511,3.3372552,5.600998704,18.990000000000002
2718.3164,2.1242,82.0967,3.33484728,5.598359136,19.56
2718.4414,2.1136,82.6063,3.336880296,5.613858216000001,19.37
2720.8164,2.144,80.4239,3.367092072,5.722854696,20.9
2720.9414,2.144,80.6115,3.354433728,5.642204616000001,21.310000000000002
2721.0664,2.1363,81.8067,3.341708328,5.566102152,21.63
2721.1914,2.1275,83.476,3.328961592,5.499890448,21.85
2721.3164,2.1218,85.2748,3.316553184,5.446833912,21.95
2721.4414,2.1214,87.0709,3.3050866080000003,5.409998832,21.92
2721.5664,2.1259,88.9845,3.2953452,5.39227776,21.78
2721.6914,2.1234,91.606,3.2888682,5.400879216,21.7
2721.8164,2.103,95.7325,3.287545368,5.429054927999999,21.47
2727.3164,2.13,90.668,3.146093784,6.1592490479999995,25.11
2727.4414,2.1499,89.2498,2.931438384,5.857094712,24.279999999999998
2727.5664,2.1796,87.1377,2.78148288,5.621734248,24.310000000000002
2727.6914,2.2128,84.4654,2.7043440960000003,5.495379408,24.759999999999998
2727.8164,2.2418,81.9242,2.679957048,5.44118292,24.93
2727.9414,2.2533,80.988,2.713369224,5.433605592,24.38
2728.0664,2.2445,82.15,2.780132616,5.432950272,23.86
2728.1914,2.2239,84.782,2.855985144,5.435949504,23.419999999999998
2728.3164,2.1958,88.2212,2.926710936,5.443359192,22.869999999999997
2728.4414,2.1632,91.7375,2.98481496,5.455222008000001,21.94
2728.5664,2.1279,94.5847,3.032107728,5.46785292,20.26
2729.4414,2.1585,100.9106,3.132508848,5.451040152,17.19
2729.5664,2.1538,97.8455,3.141601032,5.4476904,17.83
2729.6914,2.1326,93.6096,3.1575603599999997,5.441454192,17.87
2730.3164,2.1362,92.9079,3.239859408,5.443246416,18.12
2730.4414,2.1495,95.9515,3.252066648,5.4315786720000006,18.83
2730.5664,2.1566,97.6937,3.261707472,5.420185248,19.31
2730.6914,2.1615,97.5715,3.26741028,5.421309959999999,19.650000000000002
2730.8164,2.1657,96.237,3.270025464,5.437732584,20.05
2730.9414,2.1642,95.1908,3.2731313760000003,5.461378968,20.5
2731.0664,2.1566,95.0331,3.279209088,5.488173936,20.75
2731.1914,2.1456,95.8498,3.289788696,5.515770528,20.599999999999998
2731.3164,2.1359,97.1834,3.30505308,5.544040728,19.939999999999998
2732.4414,2.1395,100.0188,3.279294432,5.377391328,19.189999999999998
2732.5664,2.1837,103.9435,3.247195944,5.22314424,20.24
2732.6914,2.2289,107.4705,3.213253416,5.0605334399999995,21.36
2732.8164,2.2617,108.927,3.18296544,4.91041944,22.41
2732.9414,2.2773,108.0432,3.1594745040000003,4.7890602719999995,23.24
2733.0664,2.2759,106.4093,3.1430884559999996,4.701664968,23.53
2733.1914,2.2599,105.1774,3.133840824,4.65234528,23.150000000000002
2733.3164,2.233,104.9476,3.131399376,4.642994015999999,22.14
2733.4414,2.1993,105.2791,3.135498936,4.6747572239999995,20.77
2733.5664,2.1649,104.0561,3.1458103200000003,4.743133008,19.41
2735.0664,2.1329,86.8582,3.354610512,5.48211756,19.31
2735.1914,2.1401,91.4518,3.3633277919999998,5.516553864,19.97
2735.3164,2.136,95.0916,3.3679516080000003,5.542144872,20.53
2735.4414,2.1276,97.5633,3.3691921440000003,5.558521776,21.279999999999998
2735.5664,2.1244,98.4194,3.366945768,5.565687624000001,22.11
2735.6914,2.1328,98.22,3.360441336,5.567095800000001,22.45
2735.8164,2.1487,97.8071,3.3500171759999997,5.566367328,22.33
2735.9414,2.1683,97.7059,3.336669984,5.564770176000001,22.05
2736.0664,2.1884,98.435,3.3220517760000003,5.562322632000001,21.88
2736.1914,2.207,100.459,3.30848208,5.55781464,21.93
2736.3164,2.2186,102.7163,3.298417584,5.545113624,21.95
2736.4414,2.219,103.9276,3.291410232,5.522424312,21.57
2736.5664,2.209,103.7561,3.2863414079999997,5.488067256,20.89
2736.6914,2.1914,102.1758,3.28234548,5.441621832,20.119999999999997
2736.8164,2.1712,99.5695,3.278501952,5.3840603520000005,19.5
2736.9414,2.1581,97.1153,3.273250248,5.31793704,19.27
2737.0664,2.1623,96.3491,3.2634996960000002,5.249171112,19.55
2737.1914,2.1818,97.2604,3.248851008,5.1827948159999995,20.18
2737.3164,2.212,99.363,3.2301088559999998,5.12281932,21.12
2737.4414,2.2449,101.9571,3.2090532720000002,5.073597168,22.259999999999998
2737.5664,2.2702,104.2391,3.188281152,5.039630256,23.39
2737.6914,2.276,104.9242,3.1722517199999998,5.029349352,24.07
2737.8164,2.2709,104.0846,3.162903504,5.038566504,24.21
2737.9414,2.263,102.2949,3.160465104,5.061460032,24.05
2738.0664,2.2558,100.3274,3.1645341840000003,5.093713968,23.78
2738.1914,2.2487,99.1167,3.1738549679999997,5.132307744,23.5
2738.3164,2.2348,99.8888,3.1861353599999997,5.1775979759999995,23.01
2738.4414,2.2138,103.7425,3.197114256,5.232986232,22.040000000000003
2738.5664,2.1931,109.4914,3.205237176,5.292428328,20.84
2738.6914,2.1776,115.3979,3.2106748080000003,5.34896568,19.67
2739.3164,2.1536,100.4258,3.221717712,5.4589710479999995,17.87
2739.4414,2.1597,94.1854,3.2240982000000002,5.4470046000000005,17.95
2739.5664,2.1647,89.761,3.227201064,5.421913464,18.41
2739.6914,2.163,87.9223,3.2307519840000003,5.384700432,19.189999999999998
2739.8164,2.1606,89.5488,3.2321875920000003,5.343595103999999,19.8
2739.9414,2.1674,92.9577,3.229151784,5.307430584,20.02
2740.0664,2.1865,97.1066,3.220535088,5.277800976,19.93
2740.1914,2.211,100.7418,3.2067002159999998,5.253895512000001,19.75
2740.3164,2.2269,102.6561,3.189344904,5.233266648,19.759999999999998
2740.4414,2.2154,102.2909,3.172239528,5.212909056,20.04
2740.5664,2.1888,100.84,3.1595415599999996,5.191103664,20.369999999999997
2740.6914,2.1687,99.0195,3.15225684,5.1660125279999995,20.5
2740.8164,2.1632,97.6911,3.150696264,5.135581296,20.43
